,目次,聲,等,呼,韻部,調,攝,反切,寬式中古擬音,廣通中古拼音,推導南京音,字,修改避重複音,改後擬音,改後拼音,小韻字數,平水韻目,訛字
3638,入21麥,影,二,開,耕,入,梗,於革,ʔʅɛk˥,qrek,ä5,戹厄搤㧖(扼)軛(軶)呝(呃)阸(阨)豟𪕶貖蚅𩚬𧠞啞,,ʔʅɛk˥,qrek,14,陌,
3641,入21麥,疑,二,開,耕,入,梗,五革,ŋʅɛk˥,ngrek,ä5,虉(𧄷𧅖)鳽䩹㣂,,ŋʅɛk˥,ngrek,4,陌,
782,下平9麻,幫,二,開,麻,平,假,伯加,pʅa˧˧,pra,ba1,巴鈀笆豝𤜱芭㿬蚆吧疤,,pʅa˧˧,pra,8,麻,
1783,上35馬,幫,二,開,麻,上,假,愽下,pʅa˨˦ 'x,prá,ba3,把,,pʅa˨˦ 'x,prá,1,馬,
2877,去40禡,幫,二,開,麻,去,假,必駕,pʅa˧˩ 'h,prà,ba4,霸(覇)弝欛靶灞垻壩爸,,pʅa˧˩ 'h,prà,7,禡,
2883,去40禡,並,二,開,麻,去,假,白駕,bʅa˧˩ 'h,brà,ba4,𤝡杷耙跁𦫙𥝧𩹏,,bʅa˧˩ 'h,brà,6,禡,
1780,上35馬,並,二,開,麻,上,假,傍下,bʅa˨˦ 'x,brá,ba4,跁笆䇑,,bʅa˨˦ 'x,brá,3,馬,
3425,入14黠,並,二,開,山,入,山,蒲八,bʅæt˥,brät,ba5,拔菝𥎱,,bʅæt˥,brät,3,黠,
3428,入14黠,幫,二,開,山,入,山,博拔,pʅæt˥,prät,ba5,八𩡩朳捌扒㺴䤢哵玐釟,,pʅæt˥,prät,10,黠,
3460,入15鎋,幫,二,開,刪,入,山,百鎋,pʅat˥,prat,ba5,捌㭭,,pʅat˥,prat,2,黠,
544,上平27刪,幫,二,開,刪,平,山,布還,pʅan˧˧,pran,bang1,班(𤦦)頒鳻朌螌斑(辬)癍䰉般斒(𢼶)鯿扳𠔯,,pʅan˧˧,pran,13,刪,
563,上平28山,幫,二,開,山,平,山,方閑,pʅæn˧˧,prän,bang1,斒虨,,pʅæn˧˧,prän,2,刪,
538,上平26桓,幫,一,合,桓,平,山,北潘,puan˧˧,puan,bang1,𤳖般(搬)䈲𠦒,,puan˧˧,puan,4,寒,
73,上平4江,幫,二,開,江,平,江,博江,pʅɒŋ˧˧,pröng,bang1,邦𤰫梆垹,,pʅɒŋ˧˧,pröng,4,江,
860,下平11唐,幫,一,開,唐,平,宕,博旁,paŋ˧˧,pang,bang1,幫縍(鞤䩷㿶)𨢐,,paŋ˧˧,pang,5,陽,
1580,上25潸,幫,二,開,刪,上,山,布綰,pʅan˨˦ 'x,prán,bang3,板版蝂瓪昄鈑舨,,pʅan˨˦ 'x,prán,6,潸,
1835,上37蕩,幫,一,開,唐,上,宕,北朗,paŋ˨˦ 'x,páng,bang3,榜牓螃𣮧(𣯊)䰃蒡,,paŋ˨˦ 'x,páng,6,養,
1573,上24緩,幫,一,合,桓,上,山,博管,puan˨˦ 'x,puán,bang3,粄䉽(䬳)瓪昄,,puan˨˦ 'x,puán,5,旱,
1198,上3講,幫,二,開,江,上,江,巴講,pʅɒŋ˨˦ 'x,prö́ng,bang3,𦂌(綁),,pʅɒŋ˨˦ 'x,prö́ng,1,講,
1571,上24緩,並,一,合,桓,上,山,蒲旱,buan˨˦ 'x,buán,bang4,伴㚘拌,,buan˨˦ 'x,buán,3,旱,
2929,去42宕,並,一,開,唐,去,宕,蒲浪,baŋ˧˩ 'h,bàng,bang4,傍徬,,baŋ˧˩ 'h,bàng,2,漾,
2933,去42宕,幫,一,開,唐,去,宕,補曠,paŋ˧˩ 'h,pàng,bang4,螃搒舫謗,,paŋ˧˩ 'h,pàng,4,漾,
1585,上25潸,並,二,開,刪,上,山,扶板,bʅan˨˦ 'x,brán,bang4,阪(岅)昄魬,,bʅan˨˦ 'x,brán,3,潸,
2660,去29換,幫,一,合,桓,去,山,博漫,puan˧˩ 'h,puàn,bang4,半絆靽姅𩢔㪵𠯘,,puan˧˩ 'h,puàn,7,翰,
2662,去29換,並,一,合,桓,去,山,薄半,buan˧˩ 'h,buàn,bang4,叛𡞟畔伴,,buan˧˩ 'h,buàn,4,翰,
2685,去31襇,並,二,開,山,去,山,蒲莧,bʅæn˧˩ 'h,brä̀n,bang4,瓣辨辦釆,,bʅæn˧˩ 'h,brä̀n,5,諫,
2690,去31襇,幫,二,開,山,去,山,晡幻,pʅæn˧˩ 'h,prä̀n,bang4,扮,,pʅæn˧˩ 'h,prä̀n,1,諫,
1194,上3講,並,二,開,江,上,江,步項,bʅɒŋ˨˦ 'x,brö́ng,bang4,㭋棒(𣘙)棓玤(𤤓)蚌蜯𢗒䎧,,bʅɒŋ˨˦ 'x,brö́ng,8,講,
3172,去59鑑,並,二,開,銜,去,咸,蒲鑑,bʅam˧˩ 'h,bràm,bang4,埿湴,,bʅam˧˩ 'h,bràm,2,陷,
694,下平5肴,幫,二,開,肴,平,效,布交,pʅau˧˧,prau,bao1,包胞枹苞勹齙,,pʅau˧˧,prau,5,肴,
715,下平6豪,幫,一,開,豪,平,效,博毛,pau˧˧,pau,bao1,襃褒𠅬𨚔,,pau˧˧,pau,4,豪,
1701,上31巧,幫,二,開,肴,上,效,博巧,pʅau˨˦ 'x,práu,bao3,飽𩝰𩛁,,pʅau˨˦ 'x,práu,3,巧,
1727,上32晧,幫,一,開,豪,上,效,博抱,pau˨˦ 'x,páu,bao3,寶珤保𡥀堢堡褓緥鴇葆駂䎂宲賲𠤏,,pau˨˦ 'x,páu,15,晧,
2814,去37号,並,一,開,豪,去,效,薄報,bau˧˩ 'h,bàu,bao4,暴虣曝瀑勽菢袌𤔣𪇰,,bau˧˩ 'h,bàu,9,号,
2815,去37号,幫,一,開,豪,去,效,博秏,pau˧˩ 'h,pàu,bao4,報,,pau˧˩ 'h,pàu,1,号,
1707,上31巧,並,二,開,肴,上,效,薄巧,bʅau˨˦ 'x,bráu,bao4,鮑骲𡂟鞄,,bʅau˨˦ 'x,bráu,4,巧,
2792,去36效,幫,二,開,肴,去,效,北敎,pʅau˧˩ 'h,pràu,bao4,豹𧭤𢖔爆䶂,,pʅau˧˩ 'h,pràu,5,效,
2801,去36效,並,二,開,肴,去,效,防敎,bʅau˧˩ 'h,bràu,bao4,靤皰(疱)鞄骲刨(䥤鉋),,bʅau˧˩ 'h,bràu,5,效,
1714,上32晧,並,一,開,豪,上,效,薄浩,bau˨˦ 'x,báu,bao4,抱,,bau˨˦ 'x,báu,1,晧,
1416,上12蟹,幫,二,開,佳,上,蟹,北買,pʅɛ˨˦ 'x,pré,bä3,擺捭,,pʅɛ˨˦ 'x,pré,2,蟹,
2460,去15卦,幫,二,開,佳,去,蟹,方卦,pʅɛ˧˩ 'h,prè,bä4,𠂢,改平聲 方佳切,pʅɛ˧˧,pre,1,卦,庍(𠂢)
2461,去15卦,並,二,開,佳,去,蟹,傍卦,bʅɛ˧˩ 'h,brè,bä4,粺(𥽚)稗𪐄杷,,bʅɛ˧˩ 'h,brè,4,卦,
2468,去15卦,幫,二,開,佳,去,蟹,方賣,pʅɛ˧˩ 'h,prè,bä4,㠔,,pʅɛ˧˩ 'h,prè,1,卦,
2479,去16怪,幫,二,開,皆,去,蟹,博怪,pʅæi˧˩ 'h,prä̀i,bä4,拜𢷎扒,,pʅæi˧˩ 'h,prä̀i,3,卦,
2483,去16怪,並,二,開,皆,去,蟹,蒲拜,bʅæi˧˩ 'h,brä̀i,bä4,𢟡憊𣡖𤸶棑㶔𦩋韛,,bʅæi˧˩ 'h,brä̀i,8,卦,韝(韛)
2493,去17夬,並,二,開,夬,去,蟹,薄邁,bʅaj˧˩ 'h,bràj,bä4,敗唄贁䢙,,bʅaj˧˩ 'h,bràj,4,卦,
2503,去17夬,幫,二,開,夬,去,蟹,補邁,pʅaj˧˩ 'h,pràj,bä4,敗,,pʅaj˧˩ 'h,pràj,1,卦,
1414,上12蟹,並,二,開,佳,上,蟹,薄蟹,bʅɛ˨˦ 'x,bré,bä4,罷矲猈𢟡(憊)䥯㔥,,bʅɛ˨˦ 'x,bré,6,蟹,
1465,上15海,並,一,開,咍,上,蟹,薄亥,bɒi˨˦ 'x,bö́i,bä4,倍菩蓓,,bɒi˨˦ 'x,bö́i,3,賄,
3732,入25德,幫,一,開,登,入,曾,博墨,pək˥,pëk,bä5,北𧉥,,pək˥,pëk,2,職,
3733,入25德,並,一,開,登,入,曾,蒲北,bək˥,bëk,bä5,菔蔔僰(𠍷)匐(𠣵)踣仆菩垘䞳䵗𧟱𢫯,,bək˥,bëk,13,職,
3596,入20陌,並,二,開,庚,入,梗,傍陌,bʅæk˥,bräk,bä5,白帛舶鮊𦰬,,bʅæk˥,bräk,5,陌,
3597,入20陌,幫,二,開,庚,入,梗,博陌,pʅæk˥,präk,bä5,伯迫敀百柏(栢)湐(洦)𦯉㼟,,pʅæk˥,präk,8,陌,
3627,入21麥,幫,二,開,耕,入,梗,博厄,pʅɛk˥,prek,bä5,檗擘掰薜𤖟糪,,pʅɛk˥,prek,5,陌,
3628,入21麥,並,二,開,耕,入,梗,蒲革,bʅɛk˥,brek,bä5,䌟繴𦌠欂,,bʅɛk˥,brek,4,陌,
377,上平15灰,幫,一,合,灰,平,蟹,布回,puɒi˧˧,puöi,bei1,杯桮盃,,puɒi˧˧,puöi,3,灰,
171,上平6脂,幫,三,開,脂B,平,止,府眉,pɨi˧˧,pyi,bei1,悲,,pɨi˧˧,pyi,1,支,
100,上平5支,幫,三,開,支B,平,止,彼爲,pɨɪ˧˧,pyï,bei1,陂詖碑羆𥀍𨰟𤜑𨧦𥶓襬藣(𧄾𧀛)㽡焷䴽錍,,pɨɪ˧˧,pyï,11,支,
1203,上4紙,幫,三,開,支B,上,止,甫委,pɨɪ˨˦ 'x,pyḯ,bei3,彼柀佊㗗𠐌,,pɨɪ˨˦ 'x,pyḯ,5,紙,
2429,去14泰,幫,一,開,泰,去,蟹,愽蓋,paj˧˩ 'h,pàj,bei4,貝沛𨙶䟺㸬伂䰽𣬪茷𥄔𢂏鋇芾狽伂,,paj˧˩ 'h,pàj,14,泰,
2444,去14泰,並,一,開,泰,去,蟹,蒲蓋,baj˧˩ 'h,bàj,bei4,旆䟺軷,,baj˧˩ 'h,bàj,3,泰,
