,目次,聲,等,呼,韻部,調,攝,反切,寬式中古擬音,廣通中古拼音,推導南京音,字,修改避重複音,改後擬音,改後拼音,小韻字數,平水韻目,訛字
1158,上1懂,明,一,開,東,上,通,莫孔,muŋ˨˦ 'x,múng,men3,蠓𤾬鸏濛朦曚懵,,muŋ˨˦ 'x,múng,7,董,
1544,上21混,明,一,合,魂,上,臻,模本,muon˨˦ 'x,múon,men3,懣,,muon˨˦ 'x,múon,1,阮,
2122,去2宋,明,一,開,冬,去,通,莫綜,moŋ˧˩ 'h,mòng,men4,雺,,moŋ˧˩ 'h,mòng,1,宋,
3024,去48嶝,明,一,開,登,去,曾,武亘,məŋ˧˩ 'h,më̀ng,men4,𢅴䲛懜𨮒𧀧,,məŋ˧˩ 'h,më̀ng,5,徑,
2951,去43映,明,二,開,庚,去,梗,莫更,mʅæŋ˧˩ 'h,mrä̀ng,men4,孟䁅朚盟,,mʅæŋ˧˩ 'h,mrä̀ng,4,敬,
2106,去1送,明,三,開,東,去,通,莫鳳,mɨuŋ˧˩ 'h,myùng,men4,夢㝱瞢鄸䠢,,mɨuŋ˧˩ 'h,myùng,5,送,
2108,去1送,明,一,開,東,去,通,莫弄,muŋ˧˩ 'h,mùng,men4,𢄐霿艨,,muŋ˧˩ 'h,mùng,3,送,
2616,去26慁,明,一,合,魂,去,臻,莫困,muon˧˩ 'h,mùon,men4,悶懣,,muon˧˩ 'h,mùon,2,願,
93,上平5支,明,三,開,支B,平,止,靡爲,mɨɪ˧˧,myï,mi2,糜縻㸏𪎕蘼䊳𪎭𦗕醿,,mɨɪ˧˧,myï,9,支,
122,上平5支,明,三,開,支A,平,止,武移,miɪ˧˧,miï,mi2,彌獼弥𪂕镾䍘𨤐𥉓㣆𥸀擟麊冞㜷䥸𥎖瀰,,miɪ˧˧,miï,17,支,
313,上平12齊,明,四,開,齊,平,蟹,莫兮,miɛi˧˧,miei,mi2,迷𡝠䤍麛𧠠𪓬,,miɛi˧˧,miei,6,齊,
1202,上4紙,明,三,開,支B,上,止,文彼,mɨɪ˨˦ 'x,myḯ,mi3,靡𨇻𪎓骳𦗕𡬍蘼,,mɨɪ˨˦ 'x,myḯ,7,紙,
1227,上4紙,明,三,開,支A,上,止,綿婢,miɪ˨˦ 'x,miḯ,mi3,渳弭濔瀰芈(羋)敉侎葞蝆䦵㥝咪咩,,miɪ˨˦ 'x,miḯ,11,紙,
1404,上11薺,明,四,開,齊,上,蟹,莫禮,miɛi˨˦ 'x,miéi,mi3,米眯䋛洣蔝𡬍䱊,,miɛi˨˦ 'x,miéi,7,薺,
2373,去12霽,明,四,開,齊,去,蟹,莫計,miɛi˧˩ 'h,mièi,mi4,謎㩢,,miɛi˧˩ 'h,mièi,2,霽,
3721,入24職,明,三,開,蒸,入,曾,亡逼,mɨk˥,myk,mi5,䁇,,mɨk˥,myk,1,職,
3303,入5質,明,三,開,眞A,入,臻,彌畢,mit˥,mit,mi5,蜜𧖅謐䤉榓𥁑宓淧𥋱,,mit˥,mit,9,質,
3311,入5質,明,三,開,眞B,入,臻,美筆,mɨt˥,myt,mi5,密𡶇宓蔤滵沕樒𥄃𪅮𥉴,,mɨt˥,myt,10,質,
3683,入23錫,明,四,開,青,入,梗,莫狄,miɛk˥,miek,mi5,覓覛幎幦𧜀䮭糸鼏羃汨㵋漞冂(冪冖)䖑蓂𧱻覭䌐𪒄䈿濗𧐎塓,,miɛk˥,miek,23,錫,
674,下平4宵,明,三,開,宵A,平,效,彌遙,miæu˧˧,miäu,miao2,蜱䖢篻㠺𪃦,,miæu˧˧,miäu,5,蕭,
675,下平4宵,明,三,開,宵B,平,效,武瀌,mɨæu˧˧,myäu,miao2,苗描緢貓猫,,mɨæu˧˧,myäu,5,蕭,
1044,下平20幽,明,三,開,幽,平,流,武彪,miu˧˧,miu,miao2,繆鷚䋷,,miu˧˧,miu,3,尤,
1686,上30小,明,三,開,宵A,上,效,亡沼,miæu˨˦ 'x,miä́u,miao3,渺眇訬𦳥淼杪秒藐吵篎緲,,miæu˨˦ 'x,miä́u,10,篠,
3080,去51幼,明,三,開,幽,去,流,靡幼,miu˧˩ 'h,miù,miao4,謬繆,,miu˧˩ 'h,miù,2,宥,
2775,去35笑,明,三,開,宵A,去,效,彌笑,miæu˧˩ 'h,miä̀u,miao4,妙玅篎,,miæu˧˩ 'h,miä̀u,3,嘯,
2781,去35笑,明,三,開,宵B,去,效,眉召,mɨæu˧˩ 'h,myä̀u,miao4,廟庿,,mɨæu˧˩ 'h,myä̀u,2,嘯,
589,下平1先,明,四,開,先,平,山,莫賢,miɛn˧˧,mien,miän2,眠瞑䏃矏𥌂䰓㝰,,miɛn˧˧,mien,7,先,
616,下平2仙,明,三,開,仙A,平,山,武延,miæn˧˧,miän,miän2,緜綿棉謾矊蝒𧉄矏𢣔芇宀𩕰櫋𣏜臱㮌𣡠,,miæn˧˧,miän,17,先,
2061,上51忝,明,四,開,添,上,咸,明忝,miɛm˨˦ 'x,miém,miän3,𡕢厸,,miɛm˨˦ 'x,miém,2,琰,
1610,上27銑,明,四,開,先,上,山,彌殄,miɛn˨˦ 'x,mién,miän3,㨠芇丏眄,,miɛn˨˦ 'x,mién,4,銑,
1637,上28獮,明,三,開,仙A,上,山,彌兖,miæn˨˦ 'x,miä́n,miän3,緬沔汅湎愐黽𩋠偭勔𢃮,,miæn˨˦ 'x,miä́n,10,銑,
1657,上28獮,明,三,開,仙B,上,山,亡辨,mɨæn˨˦ 'x,myä́n,miän3,免娩勉俛鮸㝃冕絻,,mɨæn˨˦ 'x,myä́n,8,銑,
2707,去32霰,明,四,開,先,去,山,莫甸,miɛn˧˩ 'h,mièn,miän4,麫(麪)麵瞑眄㴐𡧍𩈹𥻩,,miɛn˧˩ 'h,mièn,8,霰,
2720,去33線,明,三,開,仙A,去,山,彌箭,miæn˧˩ 'h,miä̀n,miän4,面偭,,miæn˧˩ 'h,miä̀n,2,霰,
1775,上35馬,明,三,開,麻,上,假,彌也,mɨa˨˦ 'x,myá,mie3,乜,,mɨa˨˦ 'x,myá,1,馬,
3480,入16屑,明,四,開,先,入,山,莫結,miɛt˥,miet,mie5,蔑懱𧂝(䁾)㩢蠛篾幭鱴𥾝衊䩏㒝𥉓𤊾覕𪇴𥣫鴓瀎𥸴𥌨粖𩱷,,miɛt˥,miet,23,屑,
3498,入17薛,明,三,開,仙A,入,山,亡列,miæt˥,miät,mie5,滅搣,,miæt˥,miät,2,屑,
877,下平12庚,明,三,開,庚,平,梗,武兵,mɨæŋ˧˧,myäng,min2,明盟𥁰鳴䳟,,mɨæŋ˧˧,myäng,5,庚,
921,下平14清,明,三,開,清,平,梗,武并,miæŋ˧˧,miäng,min2,名洺,,miæŋ˧˧,miäng,2,庚,
428,上平17眞,明,三,開,眞B,平,臻,武巾,mɨn˧˧,myn,min2,珉(玟瑉碈)岷罠閩緡䪸笢旻旼𤸅闅汶㨉忞盿䁕鍲𪃯鈱,,mɨn˧˧,myn,19,眞,
433,上平17眞,明,三,開,眞A,平,臻,彌鄰,min˧˧,min,min2,民闅䁕泯怋,,min˧˧,min,5,眞,
942,下平15青,明,四,開,青,平,梗,莫經,miɛŋ˧˧,mieng,min2,冥榠銘鄍溟䫤螟𧱴猽蓂瞑𥹆嫇覭暝,,miɛŋ˧˧,mieng,15,青,
1862,上38梗,明,三,開,庚,上,梗,武永,mɨæŋ˨˦ 'x,myä́ng,min3,皿𥥊𥁰,,mɨæŋ˨˦ 'x,myä́ng,3,梗,
1896,上40靜,明,三,開,清,上,梗,亡井,miæŋ˨˦ 'x,miä́ng,min3,眳慏,,miæŋ˨˦ 'x,miä́ng,2,梗,
1481,上16軫,明,三,開,眞B,上,臻,眉殞,mɨn˨˦ 'x,mýn,min3,愍慜憫閔(湣)敏敃暋潣簢𥴲𤛎𦌡𨏵鰵,,mɨn˨˦ 'x,mýn,14,軫,
1482,上16軫,明,三,開,眞A,上,臻,武盡,min˨˦ 'x,mín,min3,泯𤿕僶笢黽澠䟨刡𨍌䐇,,min˨˦ 'x,mín,10,軫,
1900,上41迥,明,四,開,青,上,梗,莫迥,miɛŋ˨˦ 'x,miéng,min3,茗嫇酩瀴溟眳姳,,miɛŋ˨˦ 'x,miéng,7,迥,
3000,去46徑,明,四,開,青,去,梗,莫定,miɛŋ˧˩ 'h,mièng,min4,䒌暝,,miɛŋ˧˩ 'h,mièng,2,徑,
2949,去43映,明,三,開,庚,去,梗,眉病,mɨæŋ˧˩ 'h,myä̀ng,min4,命,,mɨæŋ˧˩ 'h,myä̀ng,1,敬,
2987,去45勁,明,三,開,清,去,梗,彌正,miæŋ˧˩ 'h,miä̀ng,min4,詺,,miæŋ˧˩ 'h,miä̀ng,1,敬,
745,下平8戈,明,一,合,戈,平,果,莫婆,muɒ˧˧,muö,mo2,摩魔磨劘𩞁𥂓𡡉䯢𦟟𦣆䭩,,muɒ˧˧,muö,11,歌,
278,上平11模,明,一,開,模,平,遇,莫胡,mo˧˧,mo,mo2,模橅墲摸嫫謨𠻚㡔𨡭䉑无膜摹,,mo˧˧,mo,12,虞,
1750,上34果,明,一,合,戈,上,果,亡果,muɒ˨˦ 'x,muö́,mo3,麼𣋟懡嬤,,muɒ˨˦ 'x,muö́,3,哿,
1374,上10姥,明,一,開,模,上,遇,莫補,mo˨˦ 'x,mó,mo3,姥莽媽峔䥈𢜮,,mo˨˦ 'x,mó,6,麌,
2842,去39過,明,一,合,戈,去,果,摸卧,muɒ˧˩ 'h,muö̀,mo4,磨摩䃺塺,,muɒ˧˩ 'h,muö̀,4,箇,
2342,去11暮,明,一,開,模,去,遇,莫故,mo˧˩ 'h,mò,mo4,暮慕募墓慔𥰻,,mo˧˩ 'h,mò,6,遇,
3405,入13末,明,一,合,桓,入,山,莫撥,muat˥,muat,mo5,末昩𩑷䀛䴲𨣱䬴秣𥬎靺韎苜粖𩱷𥽘䱅眜抹妺𠇱𢗿𡊉瀎𩿣沫𦫕袜茉,,muat˥,muat,27,曷,
3370,入11沒,明,一,合,魂,入,臻,莫勃,muot˥,muot,mo5,没(沒)殁(歿)𤣻𩑦𠬛莈,,muot˥,muot,6,月,
3569,入19鐸,明,一,開,唐,入,宕,慕各,mak˥,mak,mo5,莫幕鄚膜鏌摸漠瘼寞瞙嗼塻𣩎𢊗𡈗𠢓,,mak˥,mak,16,藥,
3271,入4覺,明,二,開,江,入,江,莫角,mʅɒk˥,mrök,mo5,邈藐㦝眊皃毣瞀𢷕瞐,,mʅɒk˥,mrök,9,覺,
1016,下平18尤,明,三,開,尤,平,流,莫浮,mɨu˧˧,myu,mou2,謀䱕雺眸牟侔矛𢦵鍪鞪麰𦭷堥劺𨡭蝥蟊鷚𩭾䋷恈鴾蛑繆,,mɨu˧˧,myu,24,尤,
1033,下平19侯,明,一,開,侯,平,流,亡侯,mu˧˧,mu,mou2,呣,,mu˧˧,mu,1,尤,
1956,上45厚,明,一,開,侯,上,流,莫厚,mu˨˦ 'x,mú,mou3,母牡某拇胟𠭇(畝)畮畞莽𤝕𤵝踇𧿹䳇(鵡),,mu˨˦ 'x,mú,14,有,
3063,去50候,明,一,開,侯,去,流,莫候,mu˧˩ 'h,mù,mou4,茂懋貿鄮戊愗袤楙瞀䓮姆苺𦼪𠔼雺,,mu˧˩ 'h,mù,15,宥,
3057,去49宥,明,三,開,尤,去,流,亡救,mɨu˧˩ 'h,myù,mou4,莓,,mɨu˧˩ 'h,myù,1,宥,
3197,入1屋,明,一,開,東,入,通,莫卜,muk˥,muk,mu5,木沐朷毣鶩霂𨍎㡔蓩艒鞪楘蚞䜼,,muk˥,muk,12,屋,
3222,入1屋,明,三,開,東,入,通,莫六,mɨuk˥,myuk,mu5,目睦穆苜𦱒牧㙁(坶)繆萺㣎㾇,,mɨuk˥,myuk,11,屋,
3235,入2沃,明,一,開,冬,入,通,莫沃,mok˥,mok,mu5,瑁𣔺媢艒萺,,mok˥,mok,5,沃,
738,下平7歌,影,一,開,歌,平,果,烏何,ʔɒ˧˧,qö,o1,阿妸妿娿(婀)痾(疴)䋪鈳屙啊,,ʔɒ˧˧,qö,7,歌,
755,下平8戈,影,一,合,戈,平,果,烏禾,ʔuɒ˧˧,quö,o1,倭濄渦涹踒𡑟𥟿窩萵,,ʔuɒ˧˧,quö,7,歌,
731,下平7歌,疑,一,開,歌,平,果,五何,ŋɒ˧˧,ngö,o2,莪哦娥峩(峨)鵝俄蛾涐誐硪䄉睋𩒰,,ŋɒ˧˧,ngö,13,歌,
747,下平8戈,疑,一,合,戈,平,果,五禾,ŋuɒ˧˧,nguö,o2,訛譌吪鈋囮鈋魤,,ŋuɒ˧˧,nguö,7,歌,
1736,上33哿,疑,一,開,歌,上,果,五可,ŋɒ˨˦ 'x,ngö́,o3,我騀𩒰㧴硪,,ŋɒ˨˦ 'x,ngö́,5,哿,
1743,上33哿,影,一,開,歌,上,果,烏可,ʔɒ˨˦ 'x,qö́,o3,𨵌椏妸娿𣘨㫊𧙃,,ʔɒ˨˦ 'x,qö́,7,哿,
1752,上34果,疑,一,合,戈,上,果,五果,ŋuɒ˨˦ 'x,nguö́,o3,㛂(𢀴),,ŋuɒ˨˦ 'x,nguö́,2,哿,
1754,上34果,影,一,合,戈,上,果,烏果,ʔuɒ˨˦ 'x,quö́,o3,婐倭𥟿,,ʔuɒ˨˦ 'x,quö́,3,哿,
2829,去38箇,疑,一,開,歌,去,果,五个,ŋɒ˧˩ 'h,ngö̀,o4,餓,,ŋɒ˧˩ 'h,ngö̀,1,箇,
2846,去39過,疑,一,合,戈,去,果,吾貨,ŋuɒ˧˩ 'h,nguö̀,o4,臥,,ŋuɒ˧˩ 'h,nguö̀,1,箇,
2855,去38箇,影,一,開,歌,去,果,安賀,ʔɒ˧˩ 'h,qö̀,o4,侉,,ʔɒ˧˩ 'h,qö̀,1,箇,
2856,去39過,影,一,合,戈,去,果,烏臥,ʔuɒ˧˩ 'h,quö̀,o4,涴,,ʔuɒ˧˩ 'h,quö̀,1,箇,
3783,入27合,影,一,開,覃,入,咸,烏合,ʔɒp˥,qöp,o5,姶𤸱罨罯媕㔩庵𨂁𧼎𩋊𩇠搕鞥佮,,ʔɒp˥,qöp,13,合,
3785,入27合,疑,一,開,覃,入,咸,五合,ŋɒp˥,ngöp,o5,㬎礏哈儑𡀾砐礘㾑䑥魥歞,,ŋɒp˥,ngöp,10,合,
3788,入27合,影,一,開,覃,入,咸,烏荅,ʔɒp˥,qöp,o5,唈,改云母三等嚴韻  焉袷切,ɨɒp˥,yöp,1,合,
3797,入28盍,疑,一,開,談,入,咸,五盍,ŋap˥,ngap,o5,儑𥋙,,ŋap˥,ngap,2,合,
3801,入28盍,影,一,開,談,入,咸,安盍,ʔap˥,qap,o5,鰪盦廅𤸱,,ʔap˥,qap,4,合,
3394,入12曷,影,一,開,寒,入,山,烏葛,ʔat˥,qat,o5,遏齃頞堨閼胺餲靄咹𠥜𢉥,,ʔat˥,qat,11,曷,
3399,入12曷,疑,一,開,寒,入,山,五割,ŋat˥,ngat,o5,嶭䡾屵枿𣡌櫱𣎴(蘖)𠱥㩵𠲗歺頇齾,,ŋat˥,ngat,13,曷,
3415,入13末,影,一,合,桓,入,山,烏括,ʔuat˥,quat,o5,斡焥䩊捾𣁳嬒䁊睕𥄗,,ʔuat˥,quat,9,曷,
3576,入19鐸,疑,一,開,唐,入,宕,五各,ŋak˥,ngak,o5,咢愕鄂諤𠟎𧊜𧍞遌萼鍔𡅡崿鶚鰐(鱷)噩㗁齶顎𡾙鑩偔堮𡓐㮙湂,,ŋak˥,ngak,25,藥,
3578,入19鐸,影,一,開,唐,入,宕,烏各,ʔak˥,qak,o5,惡𢙣蝁堊,,ʔak˥,qak,4,藥,
3588,入19鐸,影,一,合,唐,入,宕,烏郭,ʔuak˥,quak,o5,雘蠖臒鸌嬳𩟓,,ʔuak˥,quak,6,藥,
3276,入4覺,影,二,開,江,入,江,於角,ʔʅɒk˥,qrök,o5,握渥偓箹幄楃喔鷽葯腛𪑱齷媉𦯏龏𠿟䮸,,ʔʅɒk˥,qrök,17,覺,
904,下平13耕,影,二,合,耕,平,梗,烏宏,ʔʯɛŋ˧˧,qweng,ong1,泓謍宖𨳮,,ʔʯɛŋ˧˧,qweng,4,庚,
27,上平1東,影,一,開,東,平,通,烏紅,ʔuŋ˧˧,qung,ong1,翁螉䱵蓊䈵䩺㮬𩔚鶲,,ʔuŋ˧˧,qung,8,東,
33,上平1東,疑,一,開,東,平,通,五東,ŋuŋ˧˧,ngung,ong2,㟅,,ŋuŋ˧˧,ngung,1,東,
1164,上1懂,影,一,開,東,上,通,烏孔,ʔuŋ˨˦ 'x,qúng,ong3,蓊滃暡郺勜䈵䐥塕𤌏嗡,,ʔuŋ˨˦ 'x,qúng,9,董,
2099,去1送,影,一,開,東,去,通,烏貢,ʔuŋ˧˩ 'h,qùng,ong4,瓮甕𦉥罋𪖵,,ʔuŋ˧˩ 'h,qùng,5,送,
1018,下平19侯,影,一,開,侯,平,流,烏侯,ʔu˧˧,qu,ou1,謳嘔歐甌區漚鷗䁱瞘櫙蓲醧剾䙔鏂膒,,ʔu˧˧,qu,16,尤,
1027,下平19侯,疑,一,開,侯,平,流,五婁,ŋu˧˧,ngu,ou2,齵,,ŋu˧˧,ngu,1,尤,
1961,上45厚,疑,一,開,侯,上,流,五口,ŋu˨˦ 'x,ngú,ou3,藕蕅偶耦髃㼴,,ŋu˨˦ 'x,ngú,6,有,
1967,上45厚,影,一,開,侯,上,流,烏后,ʔu˨˦ 'x,qú,ou3,歐(嘔)毆敺㸸𠙶塸䙔慪,,ʔu˨˦ 'x,qú,7,有,
3071,去50候,影,一,開,侯,去,流,烏候,ʔu˧˩ 'h,qù,ou4,漚䙔𠹝,,ʔu˧˩ 'h,qù,3,宥,
3077,去50候,疑,一,開,侯,去,流,五遘,ŋu˧˩ 'h,ngù,ou4,偶,,ŋu˧˩ 'h,ngù,1,宥,
780,下平9麻,滂,二,開,麻,平,假,普巴,pʰʅa˧˧,phra,pa1,葩鈀妑蚆吧𧣃舥,,pʰʅa˧˧,phra,7,麻,
793,下平9麻,並,二,開,麻,平,假,蒲巴,bʅa˧˧,bra,pa2,爬杷琶,,bʅa˧˧,bra,3,麻,
2878,去40禡,滂,二,開,麻,去,假,普駕,pʰʅa˧˩ 'h,phrà,pa4,帊怕,,pʰʅa˧˩ 'h,phrà,2,禡,
3442,入14黠,滂,二,開,山,入,山,普八,pʰʅæt˥,phrät,pa5,汃𪗔碒𨋐叭,,pʰʅæt˥,phrät,4,黠,
548,上平27刪,滂,二,開,刪,平,山,普班,pʰʅan˧˧,phran,pang1,攀扳眅,,pʰʅan˧˧,phran,3,刪,
537,上平26桓,滂,一,合,桓,平,山,普官,pʰuan˧˧,phuan,pang1,潘㽃番拌㢖𤺏,,pʰuan˧˧,phuan,6,寒,
75,上平4江,滂,二,開,江,平,江,匹江,pʰʅɒŋ˧˧,phröng,pang1,胮𤵸𩐨𪔔𪐿,,pʰʅɒŋ˧˧,phröng,5,江,
848,下平11唐,滂,一,開,唐,平,宕,普郎,pʰaŋ˧˧,phang,pang1,滂鎊霶雱䨦𣂆磅,,pʰaŋ˧˧,phang,7,陽,
1149,下平27銜,並,二,開,銜,平,咸,白銜,bʅam˧˧,bram,pang2,𨂝,,bʅam˧˧,bram,1,咸,
535,上平26桓,並,一,合,桓,平,山,薄官,buan˧˧,buan,pang2,盤槃鎜柈瘢磻幋磐䰉般蹣搫鞶繁𪄀𥈼媻縏蟠𪒀䈲𤠍,,buan˧˧,buan,22,寒,
78,上平4江,並,二,開,江,平,江,薄江,bʅɒŋ˧˧,bröng,pang2,龐逄胮𩐨舽,,bʅɒŋ˧˧,bröng,5,江,
856,下平11唐,並,一,開,唐,平,宕,步光,baŋ˧˧,bang,pang2,傍彷膀髈䠙趽房旁篣𨜷螃䅭騯,,baŋ˧˧,bang,13,陽,
1577,上24緩,滂,一,合,桓,上,山,普伴,pʰuan˨˦ 'x,phuán,pang3,坢𧺾,,pʰuan˨˦ 'x,phuán,2,旱,
1590,上25潸,滂,二,開,刪,上,山,普板,pʰʅan˨˦ 'x,phrán,pang3,眅,,pʰʅan˨˦ 'x,phrán,1,潸,
1847,上37蕩,滂,一,開,唐,上,宕,匹朗,pʰaŋ˨˦ 'x,pháng,pang3,髈䒍,,pʰaŋ˨˦ 'x,pháng,2,養,
2147,去4絳,滂,二,開,江,去,江,匹絳,pʰʅɒŋ˧˩ 'h,phrö̀ng,pang4,肨(胖),,pʰʅɒŋ˧˩ 'h,phrö̀ng,1,絳,
2661,去29換,滂,一,合,桓,去,山,普半,pʰuan˧˩ 'h,phuàn,pang4,判泮頖沜眫姅冸牉,,pʰuan˧˩ 'h,phuàn,8,翰,
2679,去30諫,滂,二,開,刪,去,山,普患,pʰʅan˧˩ 'h,phràn,pang4,襻,,pʰʅan˧˩ 'h,phràn,1,諫,
2686,去31襇,滂,二,開,山,去,山,匹莧,pʰʅæn˧˩ 'h,phrä̀n,pang4,盻(盼)𥌊,,pʰʅæn˧˩ 'h,phrä̀n,2,諫,
695,下平5肴,滂,二,開,肴,平,效,匹交,pʰʅau˧˧,phrau,pao1,胞𨚔䍖脬抛(拋)泡𢿏,,pʰʅau˧˧,phrau,9,肴,𠐋𦫶(丘交切非匹交切)
724,下平6豪,滂,一,開,豪,平,效,普袍,pʰau˧˧,phau,pao1,㯱藨䫽㲏,,pʰau˧˧,phau,4,豪,
701,下平5肴,並,二,開,肴,平,效,薄交,bʅau˧˧,brau,pao2,庖咆匏炮炰鉋瓟麃掊颮鞄狍跑捊尥泡㯡麅,,bʅau˧˧,brau,17,肴,
714,下平6豪,並,一,開,豪,平,效,薄襃,bau˧˧,bau,pao2,袍袌軳,,bau˧˧,bau,3,豪,
2795,去36效,滂,二,開,肴,去,效,匹皃,pʰʅau˧˩ 'h,phràu,pao4,奅炮抛皰(疱)礮,,pʰʅau˧˩ 'h,phràu,6,效,窌(奅)
400,上平16咍,滂,一,開,咍,平,蟹,普才,pʰɒi˧˧,phöi,pä1,𡜊,,pʰɒi˧˧,phöi,1,灰,
325,上平13佳,並,二,開,佳,平,蟹,薄佳,bʅɛ˧˧,bre,pä2,牌棑䱝郫蠯犤𥱼,,bʅɛ˧˧,bre,7,佳,
343,上平14皆,並,二,開,皆,平,蟹,步皆,bʅæi˧˧,bräi,pä2,排俳輫牌猈𩑢,,bʅæi˧˧,bräi,6,佳,
392,上平16咍,並,一,開,咍,平,蟹,扶來,bɒi˧˧,böi,pä2,𤗏㯁,,bɒi˧˧,böi,2,灰,
1452,上15海,滂,一,開,咍,上,蟹,匹愷,pʰɒi˨˦ 'x,phö́i,pä3,啡,改幫母 巴愷切,pɒi˨˦ 'x,pö́i,1,賄,
1458,上15海,滂,一,開,咍,上,蟹,普乃,pʰɒi˨˦ 'x,phö́i,pä3,俖朏,,pʰɒi˨˦ 'x,phö́i,2,賄,
2463,去15卦,滂,二,開,佳,去,蟹,匹卦,pʰʅɛ˧˩ 'h,phrè,pä4,派𠂢𥿯𣏕㵺㭛𣝁𣎵,,pʰʅɛ˧˩ 'h,phrè,7,卦,
2480,去16怪,滂,二,開,皆,去,蟹,普拜,pʰʅæi˧˩ 'h,phrä̀i,pä4,湃浿,,pʰʅæi˧˩ 'h,phrä̀i,2,卦,
3741,入25德,滂,一,開,登,入,曾,匹北,pʰək˥,phëk,pä5,覆𧕡𠣾,,pʰək˥,phëk,3,職,
3613,入20陌,滂,二,開,庚,入,梗,普伯,pʰʅæk˥,phräk,pä5,拍魄怕皛敀𠓗珀𧻙𤖼洦,,pʰʅæk˥,phräk,10,陌,
3640,入21麥,滂,二,開,耕,入,梗,普麥,pʰʅɛk˥,phrek,pä5,𢶉糪,,pʰʅɛk˥,phrek,2,陌,
176,上平6脂,滂,三,開,脂B,平,止,敷悲,pʰɨi˧˧,phyi,pei1,丕㔻伾秠䪹駓怌䫠豾髬魾鉟苤,,pʰɨi˧˧,phyi,12,支,
378,上平15灰,滂,一,合,灰,平,蟹,芳杯,pʰuɒi˧˧,phuöi,pei1,肧(胚)坯㾦醅衃𩵣𤬃抔,,pʰuɒi˧˧,phuöi,8,灰,
376,上平15灰,並,一,合,灰,平,蟹,薄回,buɒi˧˧,buöi,pei2,陪裴徘培𨛬䣙婄棓毰𤗏𩑢輫賠,,buɒi˧˧,buöi,12,灰,
175,上平6脂,並,三,開,脂B,平,止,符悲,bɨi˧˧,byi,pei2,邳鉟䲹岯魾䫠,,bɨi˧˧,byi,6,支,
1274,上5旨,滂,三,開,脂B,上,止,匹鄙,pʰɨi˨˦ 'x,phyí,pei3,嚭秠疕𡺮𢻹,,pʰɨi˨˦ 'x,phyí,5,紙,
2430,去14泰,滂,一,開,泰,去,蟹,普蓋,pʰaj˧˩ 'h,phàj,pei4,霈浿沛𥄔㤄,,pʰaj˧˩ 'h,phàj,5,泰,
2206,去6至,滂,三,開,脂B,去,止,匹備,pʰɨi˧˩ 'h,phyì,pei4,濞嚊䑄㿙𦤢淠,,pʰɨi˧˩ 'h,phyì,6,寘,
2510,去18隊,滂,一,合,灰,去,蟹,滂佩,pʰuɒi˧˩ 'h,phuö̀i,pei4,配妃胐嶏,,pʰuɒi˧˩ 'h,phuö̀i,4,隊,
874,下平12庚,滂,二,開,庚,平,梗,撫庚,pʰʅæŋ˧˧,phräng,pen1,磅恲亨(烹)澎,,pʰʅæŋ˧˧,phräng,4,庚,
500,上平23魂,滂,一,合,魂,平,臻,普魂,pʰuon˧˧,phuon,pen1,濆噴歕,,pʰuon˧˧,phuon,3,元,
900,下平13耕,滂,二,開,耕,平,梗,普耕,pʰʅɛŋ˧˧,phreng,pen1,怦姘閛𤘾伻弸䍬㛁匉抨砰,,pʰʅɛŋ˧˧,phreng,11,庚,
985,下平17登,滂,一,開,登,平,曾,普朋,pʰəŋ˧˧,phëng,pen1,漰堋,,pʰəŋ˧˧,phëng,2,蒸,
495,上平23魂,並,一,合,魂,平,臻,蒲奔,buon˧˧,buon,pen2,盆葐𪂽湓,,buon˧˧,buon,4,元,
868,下平12庚,並,二,開,庚,平,梗,薄庚,bʅæŋ˧˧,bräng,pen2,彭澎膨蟚䰃棚榜䄘搒蒡篣𩡕騯憉𣂆輣𨍩(蟛),,bʅæŋ˧˧,bräng,17,庚,
905,下平13耕,並,二,開,耕,平,梗,薄萌,bʅɛŋ˧˧,breng,pen2,輣棚弸㥊庄,,bʅɛŋ˧˧,breng,5,庚,
31,上平1東,並,一,開,東,平,通,薄紅,buŋ˧˧,bung,pen2,蓬𥭗篷髼蜂芃𧚋韸䮾𩖛,,buŋ˧˧,bung,10,東,
976,下平17登,並,一,開,登,平,曾,步崩,bəŋ˧˧,bëng,pen2,朋堋鵬棚倗鬅,,bəŋ˧˧,bëng,6,蒸,
1881,上39耿,滂,二,開,耕,上,梗,普幸,pʰʅɛŋ˨˦ 'x,phréng,pen3,皏,,pʰʅɛŋ˨˦ 'x,phréng,1,梗,
1924,上43等,滂,一,開,登,上,曾,普等,pʰəŋ˨˦ 'x,phë́ng,pen3,倗剻,,pʰəŋ˨˦ 'x,phë́ng,2,迥,
1531,上21混,滂,一,合,魂,上,臻,普本,pʰuon˨˦ 'x,phúon,pen3,翉,,pʰuon˨˦ 'x,phúon,1,阮,
2619,去26慁,滂,一,合,魂,去,臻,普悶,pʰuon˧˩ 'h,phùon,pen4,噴歕湓,,pʰuon˧˩ 'h,phùon,3,願,
99,上平5支,滂,三,開,支B,平,止,敷羈,pʰɨɪ˧˧,phyï,pi1,鈹帔鮍披𤱍耚狓翍旇秛㿫㱟,,pʰɨɪ˧˧,phyï,12,支,
